image,text
1.jpg, a young girl in a yellow shirt and orange skirt is walking through a field in Ghibli style
10.jpg, a young girl in a yellow dress stands in front of a forest in Ghibli style
100.jpg, a boy and girl eating food in a roomin Ghibli style
101.jpg, a cartoon scene with a man and woman sleeping on a couch in Ghibli style
102.jpg, a cartoon character in a red dress and a green bag in Ghibli style
103.jpg, a girl surrounded by many fish in Ghibli style
104.jpg, a girl in a boat with a house in the background in Ghibli style
105.jpg, two young boys stand in the woods
106.jpg, a cartoon picture of two people in a room in Ghibli style
107.jpg, the little mermaid and her friends are looking at each other fish in Ghibli style
108.jpg, a boy and a girl in a field in Ghibli style
109.jpg, a cartoon character with a green hat and a red shirt in Ghibli style
11.jpg, a young girl in a yellow dress is dancing in Ghibli style
110.jpg, a boy is looking at a small fish in the water in Ghibli style
111.jpg, a cartoon character in a red shirt and white pants in Ghibli style
112.jpg, a cartoon character floating in a blue pool in Ghibli style
113.jpg, a boy in a red shirt is standing on a rock with a shark in the background in Ghibli style
114.jpg, a boy and girl standing on a boat in the water in Ghibli style
115.jpg, a boy and girl kissing on a couch in Ghibli style
116.jpg, a boy and girl in a boat with seaguls in Ghibli style
117.jpg, a boy holding a red book in front of a forest in Ghibli style
118.jpg, a boy and girl eating food in a room in Ghibli style
119.jpg, a boy and a girl in a field in Ghibli style
12.jpg, a woman and a child sit on a bed in front of a window in Ghibli style
120.jpg, a girl and boy in a field with a dog in Ghibli style
121.jpg, the legend of kora and the legend of kora in Ghibli style
122.jpg, a boy holding a bucket with a bird in it in Ghibli style
123.jpg, a boy in a yellow shirt is looking at a small boat in Ghibli style
124.jpg, a cartoon picture of two people in a room in Ghibli style
125.jpg, a boy and a girl hugging in front of a ship in Ghibli style
126.jpg, a boy blowing a bubble with a bubble gun in Ghibli style
127.jpg, a boy and girl are flying in the sky in Ghibli style
128.jpg, a cartoon character running through a garden in Ghibli style
129.jpg, a boy and a girl in a boat in Ghibli style
13.jpg, a young boy with a backpack looking at something in Ghibli style
130.jpg, a boy holding a bowl with a bird in it in Ghibli style
131.jpg, the jungle of the lost children in Ghibli style
